LineId,Content,EventId,EventTemplate
1,instruction cache parity error corrected,1,instruction cache parity error corrected
2,instruction cache parity error corrected,1,instruction cache parity error corrected
3,instruction cache parity error corrected,1,instruction cache parity error corrected
4,instruction cache parity error corrected,1,instruction cache parity error corrected
5,63543 double-hummer alignment exceptions,2,<:NUM:> double-hummer alignment exceptions
6,162 double-hummer alignment exceptions,2,<:NUM:> double-hummer alignment exceptions
7,141 double-hummer alignment exceptions,2,<:NUM:> double-hummer alignment exceptions
8,"CE sym 2, at 0x0b85eee0, mask 0x05",3,"CE sym <:NUM:>, at <:HEX:>, mask <:HEX:>"
9,ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33569,4,ciod: failed to read message prefix on control stream (CioStream socket to <:IP:>:<:NUM:>
10,ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33370,4,ciod: failed to read message prefix on control stream (CioStream socket to <:IP:>:<:NUM:>
11,"CE sym 20, at 0x1438f9e0, mask 0x40",3,"CE sym <:NUM:>, at <:HEX:>, mask <:HEX:>"
12,generating core.2275,5,generating core.<:NUM:>
13,generating core.862,5,generating core.<:NUM:>
14,generating core.728,5,generating core.<:NUM:>
15,generating core.775,5,generating core.<:NUM:>
16,generating core.3276,5,generating core.<:NUM:>
17,generating core.1717,5,generating core.<:NUM:>
18,generating core.3919,5,generating core.<:NUM:>
19,generating core.2079,5,generating core.<:NUM:>
20,generating core.1414,5,generating core.<:NUM:>
21,generating core.3055,5,generating core.<:NUM:>
22,generating core.201,5,generating core.<:NUM:>
23,generating core.1125,5,generating core.<:NUM:>
24,generating core.412,5,generating core.<:NUM:>
25,generating core.7828,5,generating core.<:NUM:>
26,generating core.5570,5,generating core.<:NUM:>
27,generating core.8275,5,generating core.<:NUM:>
28,generating core.4183,5,generating core.<:NUM:>
29,generating core.6545,5,generating core.<:NUM:>
30,generating core.4245,5,generating core.<:NUM:>
31,generating core.6884,5,generating core.<:NUM:>
32,force load/store alignment...............0,6,force load/store alignment...............<:NUM:>
33,generating core.6471,5,generating core.<:NUM:>
34,generating core.4155,5,generating core.<:NUM:>
35,generating core.449,5,generating core.<:NUM:>
36,generating core.6990,5,generating core.<:NUM:>
37,generating core.4876,5,generating core.<:NUM:>
38,generating core.2218,5,generating core.<:NUM:>
39,generating core.7518,5,generating core.<:NUM:>
40,generating core.5854,5,generating core.<:NUM:>
41,generating core.7457,5,generating core.<:NUM:>
42,generating core.6896,5,generating core.<:NUM:>
43,generating core.3488,5,generating core.<:NUM:>
44,generating core.1172,5,generating core.<:NUM:>
45,generating core.2286,5,generating core.<:NUM:>
46,generating core.786,5,generating core.<:NUM:>
47,generating core.2680,5,generating core.<:NUM:>
48,generating core.1524,5,generating core.<:NUM:>
49,generating core.4937,5,generating core.<:NUM:>
50,generating core.6801,5,generating core.<:NUM:>
51,generating core.4368,5,generating core.<:NUM:>
52,generating core.851,5,generating core.<:NUM:>
53,generating core.1744,5,generating core.<:NUM:>
54,generating core.1588,5,generating core.<:NUM:>
55,generating core.5307,5,generating core.<:NUM:>
56,generating core.7192,5,generating core.<:NUM:>
57,"CE sym 20, at 0x01228120, mask 0x10",3,"CE sym <:NUM:>, at <:HEX:>, mask <:HEX:>"
58,"CE sym 5, at 0x11042a80, mask 0x04",3,"CE sym <:NUM:>, at <:HEX:>, mask <:HEX:>"
59,instruction cache parity error corrected,1,instruction cache parity error corrected
60,instruction cache parity error corrected,1,instruction cache parity error corrected
61,instruction cache parity error corrected,1,instruction cache parity error corrected
62,instruction cache parity error corrected,1,instruction cache parity error corrected
63,instruction cache parity error corrected,1,instruction cache parity error corrected
64,instruction cache parity error corrected,1,instruction cache parity error corrected
65,instruction cache parity error corrected,1,instruction cache parity error corrected
66,instruction cache parity error corrected,1,instruction cache parity error corrected
67,generating core.430,5,generating core.<:NUM:>
68,generating core.174,5,generating core.<:NUM:>
69,ciod: cpu 0 at treeaddr 438 sent unrecognized message 0xffffffff,7,ciod: cpu <:NUM:> at treeaddr <:NUM:> sent unrecognized message <:HEX:>
70,generating core.976,5,generating core.<:NUM:>
71,generating core.1990,5,generating core.<:NUM:>
72,generating core.3638,5,generating core.<:NUM:>
73,generating core.2690,5,generating core.<:NUM:>
74,generating core.3804,5,generating core.<:NUM:>
75,generating core.418,5,generating core.<:NUM:>
76,generating core.310,5,generating core.<:NUM:>
77,generating core.2409,5,generating core.<:NUM:>
78,generating core.4182,5,generating core.<:NUM:>
79,generating core.8153,5,generating core.<:NUM:>
80,generating core.7836,5,generating core.<:NUM:>
81,generating core.2911,5,generating core.<:NUM:>
82,generating core.2921,5,generating core.<:NUM:>
83,generating core.122,5,generating core.<:NUM:>
84,generating core.1973,5,generating core.<:NUM:>
85,ciod: LOGIN chdir(/p/gb2/glosli/8M_5000K/t800) failed: No such file or directory,8,ciod: LOGIN chdir(/p/gb2/glosli/8M 5000K/t800) failed: No such file or directory
86,generating core.4984,5,generating core.<:NUM:>
87,generating core.1822,5,generating core.<:NUM:>
88,"CE sym 28, at 0x110067e0, mask 0x02",3,"CE sym <:NUM:>, at <:HEX:>, mask <:HEX:>"
89,"1 ddr errors(s) detected and corrected on rank 0, symbol 25, bit 1",9,"<:NUM:> ddr errors(s) detected and corrected on rank <:NUM:>, symbol <:NUM:>, bit <:NUM:>"
90,"CE sym 14, at 0x06047860, mask 0x20",3,"CE sym <:NUM:>, at <:HEX:>, mask <:HEX:>"
91,generating core.3265,5,generating core.<:NUM:>
