LineId,Content,EventId,EventTemplate
1,Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),1,Component State Change: Component <:*:> is in the unavailable state (HWID=<:NUM:>)
2,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),1,Component State Change: Component <:*:> is in the unavailable state (HWID=<:NUM:>)
3,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),1,Component State Change: Component <:*:> is in the unavailable state (HWID=<:NUM:>)
4,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),1,Component State Change: Component <:*:> is in the unavailable state (HWID=<:NUM:>)
5,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),1,Component State Change: Component <:*:> is in the unavailable state (HWID=<:NUM:>)
6,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),1,Component State Change: Component <:*:> is in the unavailable state (HWID=<:NUM:>)
7,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),1,Component State Change: Component <:*:> is in the unavailable state (HWID=<:NUM:>)
8,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),1,Component State Change: Component <:*:> is in the unavailable state (HWID=<:NUM:>)
9,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),1,Component State Change: Component <:*:> is in the unavailable state (HWID=<:NUM:>)
10,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),1,Component State Change: Component <:*:> is in the unavailable state (HWID=<:NUM:>)
11,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159),1,Component State Change: Component <:*:> is in the unavailable state (HWID=<:NUM:>)
12,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608),1,Component State Change: Component <:*:> is in the unavailable state (HWID=<:NUM:>)
13,clusterAddMember  (command 1902),2,clusterAddMember (command <:NUM:>)
14,clusterAddMember  (command 1900),2,clusterAddMember (command <:NUM:>)
15,risBoot  (command 1903),3,risBoot (command <:NUM:>)
16,bootGenvmunix  (command 1903),4,bootGenvmunix (command <:NUM:>)
17,boot  (command 1911),5,boot (command <:NUM:>)
18,boot  (command 1910),5,boot (command <:NUM:>)
19,boot  (command 1978),5,boot (command <:NUM:>)
20,boot  (command 1967),5,boot (command <:NUM:>)
21,wait  (command 1975),6,wait (command <:NUM:>)
22,boot  (command 1999),5,boot (command <:NUM:>)
23,halt  (command 1982),7,halt (command <:NUM:>)
24,boot  (command 1981),5,boot (command <:NUM:>)
25,boot  (command 1973),5,boot (command <:NUM:>)
26,wait  (command 1973),6,wait (command <:NUM:>)
27,wait  (command 2057),6,wait (command <:NUM:>)
28,boot  (command 2152),5,boot (command <:NUM:>)
29,wait  (command 2154),6,wait (command <:NUM:>)
30,boot  (command 2141),5,boot (command <:NUM:>)
31,boot  (command 2110),5,boot (command <:NUM:>)
32,boot  (command 2160),5,boot (command <:NUM:>)
33,halt  (command 2221),7,halt (command <:NUM:>)
34,wait  (command 2217),6,wait (command <:NUM:>)
35,wait  (command 2217),6,wait (command <:NUM:>)
36,wait  (command 2201),6,wait (command <:NUM:>)
37,wait  (command 2199),6,wait (command <:NUM:>)
38,boot  (command 2183),5,boot (command <:NUM:>)
39,wait  (command 2189),6,wait (command <:NUM:>)
40,wait  (command 2302),6,wait (command <:NUM:>)
41,wait  (command 2270),6,wait (command <:NUM:>)
42,wait  (command 2257),6,wait (command <:NUM:>)
43,boot  (command 2257),5,boot (command <:NUM:>)
44,boot  (command 2316),5,boot (command <:NUM:>)
45,boot  (command 2316),5,boot (command <:NUM:>)
46,wait  (command 2322),6,wait (command <:NUM:>)
47,wait  (command 2354),6,wait (command <:NUM:>)
48,wait  (command 2347),6,wait (command <:NUM:>)
49,boot  (command 2368),5,boot (command <:NUM:>)
50,boot  (command 2392),5,boot (command <:NUM:>)
51,boot  (command 2406),5,boot (command <:NUM:>)
52,boot  (command 2417),5,boot (command <:NUM:>)
53,boot  (command 2423),5,boot (command <:NUM:>)
54,wait  (command 2424),6,wait (command <:NUM:>)
55,wait  (command 2449),6,wait (command <:NUM:>)
56,boot  (command 2464),5,boot (command <:NUM:>)
57,wait  (command 2468),6,wait (command <:NUM:>)
58,boot  (command 2520),5,boot (command <:NUM:>)
59,wait  (command 2517),6,wait (command <:NUM:>)
60,boot  (command 2517),5,boot (command <:NUM:>)
61,wait  (command 2511),6,wait (command <:NUM:>)
62,wait  (command 2513),6,wait (command <:NUM:>)
63,boot  (command 2514),5,boot (command <:NUM:>)
64,wait  (command 2484),6,wait (command <:NUM:>)
65,boot  (command 2625),5,boot (command <:NUM:>)
66,wait  (command 2607),6,wait (command <:NUM:>)
67,boot  (command 2616),5,boot (command <:NUM:>)
68,boot  (command 2619),5,boot (command <:NUM:>)
69,boot  (command 2616),5,boot (command <:NUM:>)
70,boot  (command 2616),5,boot (command <:NUM:>)
71,boot  (command 2602),5,boot (command <:NUM:>)
72,wait  (command 2582),6,wait (command <:NUM:>)
73,boot  (command 2584),5,boot (command <:NUM:>)
74,wait  (command 2549),6,wait (command <:NUM:>)
75,boot  (command 2550),5,boot (command <:NUM:>)
76,boot  (command 2548),5,boot (command <:NUM:>)
77,boot  (command 2538),5,boot (command <:NUM:>)
78,wait  (command 2683),6,wait (command <:NUM:>)
79,boot  (command 2686),5,boot (command <:NUM:>)
80,wait  (command 2682),6,wait (command <:NUM:>)
81,wait  (command 2763),6,wait (command <:NUM:>)
82,wait  (command 2800),6,wait (command <:NUM:>)
83,boot  (command 2790),5,boot (command <:NUM:>)
84,wait  (command 2817),6,wait (command <:NUM:>)
85,wait  (command 2823),6,wait (command <:NUM:>)
86,wait  (command 2817),6,wait (command <:NUM:>)
87,wait  (command 2900),6,wait (command <:NUM:>)
88,wait  (command 2885),6,wait (command <:NUM:>)
89,wait  (command 2909),6,wait (command <:NUM:>)
90,boot  (command 2960),5,boot (command <:NUM:>)
91,wait  (command 2963),6,wait (command <:NUM:>)
92,boot  (command 2999),5,boot (command <:NUM:>)
93,halt  (command 2992),7,halt (command <:NUM:>)
94,wait  (command 3087),6,wait (command <:NUM:>)
95,wait  (command 3079),6,wait (command <:NUM:>)
96,wait  (command 3078),6,wait (command <:NUM:>)
97,wait  (command 3141),6,wait (command <:NUM:>)
98,boot  (command 3138),5,boot (command <:NUM:>)
99,boot  (command 3169),5,boot (command <:NUM:>)
100,boot  (command 3169),5,boot (command <:NUM:>)
101,boot  (command 3194),5,boot (command <:NUM:>)
102,boot  (command 3320),5,boot (command <:NUM:>)
103,boot  (command 3318),5,boot (command <:NUM:>)
104,boot  (command 3317),5,boot (command <:NUM:>)
105,wait  (command 3319),6,wait (command <:NUM:>)
106,wait  (command 3334),6,wait (command <:NUM:>)
107,boot  (command 3334),5,boot (command <:NUM:>)
108,wait  (command 3412),6,wait (command <:NUM:>)
109,boot  (command 3413),5,boot (command <:NUM:>)
110,boot  (command 3473),5,boot (command <:NUM:>)
111,wait  (command 3523),6,wait (command <:NUM:>)
112,wait  (command 3525),6,wait (command <:NUM:>)
113,wait  (command 3519),6,wait (command <:NUM:>)
114,boot  (command 3519),5,boot (command <:NUM:>)
115,boot  (command 3512),5,boot (command <:NUM:>)
116,boot  (command 3579),5,boot (command <:NUM:>)
117,boot  (command 3572),5,boot (command <:NUM:>)
118,boot  (command 3580),5,boot (command <:NUM:>)
119,wait  (command 3612),6,wait (command <:NUM:>)
120,boot  (command 3615),5,boot (command <:NUM:>)
121,wait  (command 3609),6,wait (command <:NUM:>)
122,boot  (command 3624),5,boot (command <:NUM:>)
123,wait  (command 3649),6,wait (command <:NUM:>)
124,boot  (command 3639),5,boot (command <:NUM:>)
125,wait  (command 3690),6,wait (command <:NUM:>)
126,boot  (command 3696),5,boot (command <:NUM:>)
127,wait  (command 3698),6,wait (command <:NUM:>)
128,wait  (command 3709),6,wait (command <:NUM:>)
129,wait  (command 3837),6,wait (command <:NUM:>)
130,wait  (command 3847),6,wait (command <:NUM:>)
131,boot  (command 3951),5,boot (command <:NUM:>)
132,boot  (command 3928),5,boot (command <:NUM:>)
133,boot  (command 3939),5,boot (command <:NUM:>)
134,boot  (command 3964),5,boot (command <:NUM:>)
135,wait  (command 3973),6,wait (command <:NUM:>)
136,wait  (command 3981),6,wait (command <:NUM:>)
137,wait  (command 3981),6,wait (command <:NUM:>)
138,boot  (command 4024),5,boot (command <:NUM:>)
139,wait  (command 4061),6,wait (command <:NUM:>)
140,wait  (command 4110),6,wait (command <:NUM:>)
141,boot  (command 4118),5,boot (command <:NUM:>)
142,wait  (command 4116),6,wait (command <:NUM:>)
143,wait  (command 4117),6,wait (command <:NUM:>)
144,boot  (command 4109),5,boot (command <:NUM:>)
145,wait  (command 4145),6,wait (command <:NUM:>)
146,boot  (command 4176),5,boot (command <:NUM:>)
147,boot  (command 4170),5,boot (command <:NUM:>)
148,wait  (command 4176),6,wait (command <:NUM:>)
149,wait  (command 4176),6,wait (command <:NUM:>)
150,bootGenvmunix  (command 4185),4,bootGenvmunix (command <:NUM:>)
151,boot  (command 4223),5,boot (command <:NUM:>)
152,wait  (command 4221),6,wait (command <:NUM:>)
153,wait  (command 4219),6,wait (command <:NUM:>)
154,Command has completed successfully,8,Command has completed successfully
155,Command has completed successfully,8,Command has completed successfully
156,Command has completed successfully,8,Command has completed successfully
157,Command has completed successfully,8,Command has completed successfully
158,Command has completed successfully,8,Command has completed successfully
159,Command has completed successfully,8,Command has completed successfully
160,Command has completed successfully,8,Command has completed successfully
161,Command has completed successfully,8,Command has completed successfully
162,Command has completed successfully,8,Command has completed successfully
163,Command has completed successfully,8,Command has completed successfully
164,Targeting domains:node-D3 and nodes:node-[104-127] child of command 1963,9,Targeting <:*:> and nodes:node-[<:NUM:>-<:NUM:>] child of command <:NUM:>
