LineId,Content,EventId,EventTemplate
1,onStandStepChanged 3579,1,onStandStepChanged <:NUM:>
2,onExtend:1514038530000 14 0 4,2,onExtend:<:NUM:> <:NUM:> <:NUM:> <:NUM:>
3,onReceive action: android.intent.action.SCREEN_ON,3,onReceive action: android.intent.action.SCREEN <:*:>
4,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,4,processHandleBroadcastAction action:android.intent.action.SCREEN ON
5,flush sensor data,5,flush sensor data
6,getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404,6,getTodayTotalDetailSteps = <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
7,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,7,setTodayTotalDetailSteps=<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
8,onStandStepChanged 3579,1,onStandStepChanged <:NUM:>
9,calculateCaloriesWithCache totalCalories=126775,8,calculateCaloriesWithCache totalCalories=<:NUM:>
10,calculateAltitudeWithCache totalAltitude=240,9,calculateAltitudeWithCache totalAltitude=<:NUM:>
11,REPORT : 7007 5002 150089 240,10,REPORT : <:NUM:> <:NUM:> <:NUM:> <:NUM:>
12,onExtend:1514038530000 0 0 4,2,onExtend:<:NUM:> <:NUM:> <:NUM:> <:NUM:>
13,onStandStepChanged 3579,1,onStandStepChanged <:NUM:>
14,onStandStepChanged 3580,1,onStandStepChanged <:NUM:>
15,onExtend:1514038530000 1 0 4,2,onExtend:<:NUM:> <:NUM:> <:NUM:> <:NUM:>
16,getTodayTotalDetailSteps = 1514038440000##7007##548365##8661##12361##27173954,6,getTodayTotalDetailSteps = <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
17,setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,7,setTodayTotalDetailSteps=<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
18,calculateCaloriesWithCache totalCalories=126797,8,calculateCaloriesWithCache totalCalories=<:NUM:>
19,calculateAltitudeWithCache totalAltitude=240,9,calculateAltitudeWithCache totalAltitude=<:NUM:>
20,REPORT : 7008 5003 150111 240,10,REPORT : <:NUM:> <:NUM:> <:NUM:> <:NUM:>
21,onStandStepChanged 3581,1,onStandStepChanged <:NUM:>
22,onExtend:1514038531000 1 0 4,2,onExtend:<:NUM:> <:NUM:> <:NUM:> <:NUM:>
23,getTodayTotalDetailSteps = 1514038440000##7008##548365##8661##12456##27174269,6,getTodayTotalDetailSteps = <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
24,setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,7,setTodayTotalDetailSteps=<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
25,calculateCaloriesWithCache totalCalories=126818,8,calculateCaloriesWithCache totalCalories=<:NUM:>
26,calculateAltitudeWithCache totalAltitude=240,9,calculateAltitudeWithCache totalAltitude=<:NUM:>
27,REPORT : 7009 5004 150132 240,10,REPORT : <:NUM:> <:NUM:> <:NUM:> <:NUM:>
28,onStandStepChanged 3583,1,onStandStepChanged <:NUM:>
29,onExtend:1514038531000 2 0 4,2,onExtend:<:NUM:> <:NUM:> <:NUM:> <:NUM:>
30,getTodayTotalDetailSteps = 1514038440000##7009##548365##8661##12551##27174951,6,getTodayTotalDetailSteps = <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
31,setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,7,setTodayTotalDetailSteps=<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
32,calculateCaloriesWithCache totalCalories=126861,8,calculateCaloriesWithCache totalCalories=<:NUM:>
33,calculateAltitudeWithCache totalAltitude=240,9,calculateAltitudeWithCache totalAltitude=<:NUM:>
34,REPORT : 7011 5005 150175 240,10,REPORT : <:NUM:> <:NUM:> <:NUM:> <:NUM:>
35,onStandStepChanged 3584,1,onStandStepChanged <:NUM:>
36,onExtend:1514038532000 1 0 4,2,onExtend:<:NUM:> <:NUM:> <:NUM:> <:NUM:>
37,getTodayTotalDetailSteps = 1514038440000##7011##548365##8661##12646##27175461,6,getTodayTotalDetailSteps = <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
38,setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,7,setTodayTotalDetailSteps=<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
39,calculateCaloriesWithCache totalCalories=126882,8,calculateCaloriesWithCache totalCalories=<:NUM:>
40,calculateAltitudeWithCache totalAltitude=240,9,calculateAltitudeWithCache totalAltitude=<:NUM:>
41,REPORT : 7012 5006 150197 240,10,REPORT : <:NUM:> <:NUM:> <:NUM:> <:NUM:>
42,onStandStepChanged 3585,1,onStandStepChanged <:NUM:>
43,onExtend:1514038533000 1 0 4,2,onExtend:<:NUM:> <:NUM:> <:NUM:> <:NUM:>
44,getTodayTotalDetailSteps = 1514038440000##7012##548365##8661##12741##27176464,6,getTodayTotalDetailSteps = <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
45,setTodayTotalDetailSteps=1514038440000##7013##548365##8661##12836##27176966,7,setTodayTotalDetailSteps=<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
46,calculateCaloriesWithCache totalCalories=126904,8,calculateCaloriesWithCache totalCalories=<:NUM:>
47,calculateAltitudeWithCache totalAltitude=240,9,calculateAltitudeWithCache totalAltitude=<:NUM:>
48,REPORT : 7013 5007 150218 240,10,REPORT : <:NUM:> <:NUM:> <:NUM:> <:NUM:>
49,onStandStepChanged 3586,1,onStandStepChanged <:NUM:>
50,onExtend:1514038533000 1 0 4,2,onExtend:<:NUM:> <:NUM:> <:NUM:> <:NUM:>
51,getTodayTotalDetailSteps = 1514038440000##7013##548365##8661##12836##27176966,6,getTodayTotalDetailSteps = <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
52,setTodayTotalDetailSteps=1514038440000##7014##548365##8661##12931##27177463,7,setTodayTotalDetailSteps=<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
53,calculateCaloriesWithCache totalCalories=126925,8,calculateCaloriesWithCache totalCalories=<:NUM:>
54,calculateAltitudeWithCache totalAltitude=240,9,calculateAltitudeWithCache totalAltitude=<:NUM:>
55,REPORT : 7014 5007 150239 240,10,REPORT : <:NUM:> <:NUM:> <:NUM:> <:NUM:>
56,onStandStepChanged 3587,1,onStandStepChanged <:NUM:>
57,onExtend:1514038534000 1 0 4,2,onExtend:<:NUM:> <:NUM:> <:NUM:> <:NUM:>
58,getTodayTotalDetailSteps = 1514038440000##7014##548365##8661##12931##27177463,6,getTodayTotalDetailSteps = <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
59,setTodayTotalDetailSteps=1514038440000##7015##548365##8661##13026##27177962,7,setTodayTotalDetailSteps=<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
60,calculateCaloriesWithCache totalCalories=126947,8,calculateCaloriesWithCache totalCalories=<:NUM:>
61,calculateAltitudeWithCache totalAltitude=240,9,calculateAltitudeWithCache totalAltitude=<:NUM:>
62,REPORT : 7015 5008 150261 240,10,REPORT : <:NUM:> <:NUM:> <:NUM:> <:NUM:>
63,onStandStepChanged 3588,1,onStandStepChanged <:NUM:>
64,onExtend:1514038535000 1 0 4,2,onExtend:<:NUM:> <:NUM:> <:NUM:> <:NUM:>
65,onReceive action: android.intent.action.SCREEN_OFF,3,onReceive action: android.intent.action.SCREEN <:*:>
66,onStandStepChanged 3589,1,onStandStepChanged <:NUM:>
67,onExtend:1514038535000 1 0 4,2,onExtend:<:NUM:> <:NUM:> <:NUM:> <:NUM:>
68,getTodayTotalDetailSteps = 1514038440000##7015##548365##8661##13026##27177962,6,getTodayTotalDetailSteps = <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
69,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13121##27179330,7,setTodayTotalDetailSteps=<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
70,calculateCaloriesWithCache totalCalories=126989,8,calculateCaloriesWithCache totalCalories=<:NUM:>
71,calculateAltitudeWithCache totalAltitude=240,9,calculateAltitudeWithCache totalAltitude=<:NUM:>
72,isScreenOn true,11,isScreenOn true
73,"screen status unknown,think screen on",12,"screen status unknown,think screen on"
74,REPORT : 7017 5010 150304 240,10,REPORT : <:NUM:> <:NUM:> <:NUM:> <:NUM:>
75,onReceive action: android.intent.action.SCREEN_ON,3,onReceive action: android.intent.action.SCREEN <:*:>
76,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,4,processHandleBroadcastAction action:android.intent.action.SCREEN ON
77,flush sensor data,5,flush sensor data
78,getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13121##27179330,6,getTodayTotalDetailSteps = <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
79,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417,7,setTodayTotalDetailSteps=<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
80,onStandStepChanged 3589,1,onStandStepChanged <:NUM:>
81,calculateCaloriesWithCache totalCalories=126989,8,calculateCaloriesWithCache totalCalories=<:NUM:>
82,calculateAltitudeWithCache totalAltitude=240,9,calculateAltitudeWithCache totalAltitude=<:NUM:>
83,REPORT : 7017 5010 150304 240,10,REPORT : <:NUM:> <:NUM:> <:NUM:> <:NUM:>
84,onStandStepChanged 3589,1,onStandStepChanged <:NUM:>
85,onExtend:1514038536000 0 0 4,2,onExtend:<:NUM:> <:NUM:> <:NUM:> <:NUM:>
86,onStandStepChanged 3590,1,onStandStepChanged <:NUM:>
87,onExtend:1514038536000 1 0 4,2,onExtend:<:NUM:> <:NUM:> <:NUM:> <:NUM:>
88,getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13216##27179417,6,getTodayTotalDetailSteps = <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
89,setTodayTotalDetailSteps=1514038440000##7018##548365##8661##13311##27179732,7,setTodayTotalDetailSteps=<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
90,calculateCaloriesWithCache totalCalories=127011,8,calculateCaloriesWithCache totalCalories=<:NUM:>
91,calculateAltitudeWithCache totalAltitude=240,9,calculateAltitudeWithCache totalAltitude=<:NUM:>
92,REPORT : 7018 5010 150325 240,10,REPORT : <:NUM:> <:NUM:> <:NUM:> <:NUM:>
93,onStandStepChanged 3591,1,onStandStepChanged <:NUM:>
94,onExtend:1514038536000 1 0 4,2,onExtend:<:NUM:> <:NUM:> <:NUM:> <:NUM:>
95,getTodayTotalDetailSteps = 1514038440000##7018##548365##8661##13311##27179732,6,getTodayTotalDetailSteps = <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
96,setTodayTotalDetailSteps=1514038440000##7019##548365##8661##13406##27180468,7,setTodayTotalDetailSteps=<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
97,calculateCaloriesWithCache totalCalories=127032,8,calculateCaloriesWithCache totalCalories=<:NUM:>
98,calculateAltitudeWithCache totalAltitude=240,9,calculateAltitudeWithCache totalAltitude=<:NUM:>
99,REPORT : 7019 5011 150346 240,10,REPORT : <:NUM:> <:NUM:> <:NUM:> <:NUM:>
100,onStandStepChanged 3592,1,onStandStepChanged <:NUM:>
101,onExtend:1514038537000 1 0 4,2,onExtend:<:NUM:> <:NUM:> <:NUM:> <:NUM:>
102,getTodayTotalDetailSteps = 1514038440000##7019##548365##8661##13406##27180468,6,getTodayTotalDetailSteps = <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
103,setTodayTotalDetailSteps=1514038440000##7020##548365##8661##13501##27180976,7,setTodayTotalDetailSteps=<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
104,calculateCaloriesWithCache totalCalories=127054,8,calculateCaloriesWithCache totalCalories=<:NUM:>
105,calculateAltitudeWithCache totalAltitude=240,9,calculateAltitudeWithCache totalAltitude=<:NUM:>
106,REPORT : 7020 5012 150368 240,10,REPORT : <:NUM:> <:NUM:> <:NUM:> <:NUM:>
107,onStandStepChanged 3593,1,onStandStepChanged <:NUM:>
108,onExtend:1514038538000 1 0 4,2,onExtend:<:NUM:> <:NUM:> <:NUM:> <:NUM:>
109,getTodayTotalDetailSteps = 1514038440000##7020##548365##8661##13501##27180976,6,getTodayTotalDetailSteps = <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
110,setTodayTotalDetailSteps=1514038440000##7021##548365##8661##13596##27181971,7,setTodayTotalDetailSteps=<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
111,calculateCaloriesWithCache totalCalories=127075,8,calculateCaloriesWithCache totalCalories=<:NUM:>
112,calculateAltitudeWithCache totalAltitude=240,9,calculateAltitudeWithCache totalAltitude=<:NUM:>
113,REPORT : 7021 5012 150389 240,10,REPORT : <:NUM:> <:NUM:> <:NUM:> <:NUM:>
114,onStandStepChanged 3594,1,onStandStepChanged <:NUM:>
115,onExtend:1514038538000 1 0 4,2,onExtend:<:NUM:> <:NUM:> <:NUM:> <:NUM:>
116,getTodayTotalDetailSteps = 1514038440000##7021##548365##8661##13596##27181971,6,getTodayTotalDetailSteps = <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
117,setTodayTotalDetailSteps=1514038440000##7022##548365##8661##13691##27182468,7,setTodayTotalDetailSteps=<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
118,calculateCaloriesWithCache totalCalories=127097,8,calculateCaloriesWithCache totalCalories=<:NUM:>
119,calculateAltitudeWithCache totalAltitude=240,9,calculateAltitudeWithCache totalAltitude=<:NUM:>
120,REPORT : 7022 5013 150411 240,10,REPORT : <:NUM:> <:NUM:> <:NUM:> <:NUM:>
121,onStandStepChanged 3595,1,onStandStepChanged <:NUM:>
122,onExtend:1514038539000 1 0 4,2,onExtend:<:NUM:> <:NUM:> <:NUM:> <:NUM:>
123,getTodayTotalDetailSteps = 1514038440000##7022##548365##8661##13691##27182468,6,getTodayTotalDetailSteps = <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
124,setTodayTotalDetailSteps=1514038440000##7023##548365##8661##13786##27182973,7,setTodayTotalDetailSteps=<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
125,calculateCaloriesWithCache totalCalories=127118,8,calculateCaloriesWithCache totalCalories=<:NUM:>
126,calculateAltitudeWithCache totalAltitude=240,9,calculateAltitudeWithCache totalAltitude=<:NUM:>
127,REPORT : 7023 5014 150432 240,10,REPORT : <:NUM:> <:NUM:> <:NUM:> <:NUM:>
128,onStandStepChanged 3596,1,onStandStepChanged <:NUM:>
129,onExtend:1514038539000 1 0 4,2,onExtend:<:NUM:> <:NUM:> <:NUM:> <:NUM:>
130,getTodayTotalDetailSteps = 1514038440000##7023##548365##8661##13786##27182973,6,getTodayTotalDetailSteps = <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
131,setTodayTotalDetailSteps=1514038440000##7024##548365##8661##13881##27183469,7,setTodayTotalDetailSteps=<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>
132,calculateCaloriesWithCache totalCalories=127139,8,calculateCaloriesWithCache totalCalories=<:NUM:>
133,calculateAltitudeWithCache totalAltitude=240,9,calculateAltitudeWithCache totalAltitude=<:NUM:>
134,REPORT : 7024 5015 150454 240,10,REPORT : <:NUM:> <:NUM:> <:NUM:> <:NUM:>
135,onStandStepChanged 3597,1,onStandStepChanged <:NUM:>
