LineId,Content,EventId,EventTemplate
1,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,1,proxy.cse.cuhk.edu.hk:<:NUM:> open through proxy proxy.cse.cuhk.edu.hk:<:NUM:> HTTPS
2,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,1,proxy.cse.cuhk.edu.hk:<:NUM:> open through proxy proxy.cse.cuhk.edu.hk:<:NUM:> HTTPS
3,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,1,proxy.cse.cuhk.edu.hk:<:NUM:> open through proxy proxy.cse.cuhk.edu.hk:<:NUM:> HTTPS
4,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",2,"proxy.cse.cuhk.edu.hk:<:NUM:> close, <:NUM:> bytes sent, <:NUM:> bytes received, lifetime <:NUM:>:<:NUM:>"
5,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,1,proxy.cse.cuhk.edu.hk:<:NUM:> open through proxy proxy.cse.cuhk.edu.hk:<:NUM:> HTTPS
6,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,1,proxy.cse.cuhk.edu.hk:<:NUM:> open through proxy proxy.cse.cuhk.edu.hk:<:NUM:> HTTPS
7,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,1,proxy.cse.cuhk.edu.hk:<:NUM:> open through proxy proxy.cse.cuhk.edu.hk:<:NUM:> HTTPS
8,"proxy.cse.cuhk.edu.hk:5070 close, 403 bytes sent, 426 bytes received, lifetime <1 sec",3,"proxy.cse.cuhk.edu.hk:<:NUM:> close, <:NUM:> bytes sent, <:NUM:> bytes received, lifetime <<:NUM:> sec"
9,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,1,proxy.cse.cuhk.edu.hk:<:NUM:> open through proxy proxy.cse.cuhk.edu.hk:<:NUM:> HTTPS
10,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,1,proxy.cse.cuhk.edu.hk:<:NUM:> open through proxy proxy.cse.cuhk.edu.hk:<:NUM:> HTTPS
11,"proxy.cse.cuhk.edu.hk:5070 close, 451 bytes sent, 18846 bytes (18.4 KB) received, lifetime <1 sec",4,"proxy.cse.cuhk.edu.hk:<:NUM:> close, <:NUM:> bytes <:*:> <:*:> <:*:> <:*:> <:*:> received, lifetime <<:NUM:> sec"
12,"proxy.cse.cuhk.edu.hk:5070 close, 445 bytes sent, 5174 bytes (5.05 KB) received, lifetime <1 sec",4,"proxy.cse.cuhk.edu.hk:<:NUM:> close, <:NUM:> bytes <:*:> <:*:> <:*:> <:*:> <:*:> received, lifetime <<:NUM:> sec"
13,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,1,proxy.cse.cuhk.edu.hk:<:NUM:> open through proxy proxy.cse.cuhk.edu.hk:<:NUM:> HTTPS
14,"proxy.cse.cuhk.edu.hk:5070 close, 1190 bytes (1.16 KB) sent, 1671 bytes (1.63 KB) received, lifetime 00:02",5,"proxy.cse.cuhk.edu.hk:<:NUM:> close, <:NUM:> bytes (<:NUM:>.<:NUM:> KB) sent, <:NUM:> bytes <:*:> KB) received, lifetime <:NUM:>:<:NUM:>"
