LineId,Content,EventId,EventTemplate
1,"Registered signal handlers for [TERM, HUP, INT]",1,"Registered signal handlers for [TERM, HUP, INT]"
2,"Changing view acls to: yarn,curi",2,"Changing <:*:> acls to: yarn,curi"
3,"Changing modify acls to: yarn,curi",2,"Changing <:*:> acls to: yarn,curi"
4,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",3,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)"
5,"Changing view acls to: yarn,curi",2,"Changing <:*:> acls to: yarn,curi"
6,"Changing modify acls to: yarn,curi",2,"Changing <:*:> acls to: yarn,curi"
7,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",3,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)"
8,Slf4jLogger started,4,Slf4jLogger started
9,Starting remoting,5,Starting remoting
10,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],6,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-<:NUM:>:<:NUM:>]
11,Successfully started service 'sparkExecutorActorSystem' on port 55904.,7,Successfully started service <:*:> on port <:NUM:>.
12,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4,8,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application <:NUM:> <:NUM:>/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4
13,MemoryStore started with capacity 17.7 GB,9,MemoryStore started with capacity <:NUM:>.<:NUM:> GB
14,Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069,10,Connecting to driver: spark://CoarseGrainedScheduler@<:IP:>:<:NUM:>
15,Successfully registered with driver,11,Successfully registered with driver
16,Starting executor ID 5 on host mesos-slave-07,12,Starting executor ID <:NUM:> on host mesos-slave-<:NUM:>
17,Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 40984.,7,Successfully started service <:*:> on port <:NUM:>.
18,Server created on 40984,13,Server created on <:NUM:>
19,Trying to register BlockManager,14,Trying to register BlockManager
20,Registered BlockManager,15,Registered BlockManager
