LineId,Content,EventId,EventTemplate
1,Notification time out: 3200,1,Notification time out: <:NUM:>
2,Received connection request /10.10.34.11:45307,2,Received connection request /<:IP:>:<:NUM:>
3,Send worker leaving thread,3,Send worker leaving thread
4,Interrupted while waiting for message on queue,4,Interrupted while waiting for message on queue
5,Send worker leaving thread,3,Send worker leaving thread
6,"Connection broken for id 188978561024, my id = 1, error =",5,"Connection broken for id <:NUM:>, my id = <:NUM:>, error ="
7,Received connection request /10.10.34.13:57707,2,Received connection request /<:IP:>:<:NUM:>
8,"Connection broken for id 188978561024, my id = 1, error =",5,"Connection broken for id <:NUM:>, my id = <:NUM:>, error ="
9,Interrupted while waiting for message on queue,4,Interrupted while waiting for message on queue
10,Send worker leaving thread,3,Send worker leaving thread
11,Send worker leaving thread,3,Send worker leaving thread
12,"Connection broken for id 188978561024, my id = 1, error =",5,"Connection broken for id <:NUM:>, my id = <:NUM:>, error ="
13,Received connection request /10.10.34.11:45382,2,Received connection request /<:IP:>:<:NUM:>
14,"Connection broken for id 188978561024, my id = 1, error =",5,"Connection broken for id <:NUM:>, my id = <:NUM:>, error ="
15,Interrupted while waiting for message on queue,4,Interrupted while waiting for message on queue
16,Interrupting SendWorker,6,Interrupting SendWorker
17,Send worker leaving thread,3,Send worker leaving thread
18,Interrupting SendWorker,6,Interrupting SendWorker
19,Interrupted while waiting for message on queue,4,Interrupted while waiting for message on queue
20,Received connection request /10.10.34.11:45440,2,Received connection request /<:IP:>:<:NUM:>
21,Interrupting SendWorker,6,Interrupting SendWorker
22,Send worker leaving thread,3,Send worker leaving thread
23,Interrupted while waiting for message on queue,4,Interrupted while waiting for message on queue
24,Interrupting SendWorker,6,Interrupting SendWorker
25,Send worker leaving thread,3,Send worker leaving thread
26,Interrupted while waiting for message on queue,4,Interrupted while waiting for message on queue
27,Received connection request /10.10.34.13:57895,2,Received connection request /<:IP:>:<:NUM:>
28,Interrupted while waiting for message on queue,4,Interrupted while waiting for message on queue
29,Interrupted while waiting for message on queue,4,Interrupted while waiting for message on queue
30,Interrupting SendWorker,6,Interrupting SendWorker
31,Interrupted while waiting for message on queue,4,Interrupted while waiting for message on queue
32,"Connection broken for id 188978561024, my id = 1, error =",5,"Connection broken for id <:NUM:>, my id = <:NUM:>, error ="
33,Interrupted while waiting for message on queue,4,Interrupted while waiting for message on queue
34,Send worker leaving thread,3,Send worker leaving thread
35,"Connection broken for id 188978561024, my id = 1, error =",5,"Connection broken for id <:NUM:>, my id = <:NUM:>, error ="
36,Received connection request /10.10.34.12:47727,2,Received connection request /<:IP:>:<:NUM:>
37,Interrupted while waiting for message on queue,4,Interrupted while waiting for message on queue
38,Interrupted while waiting for message on queue,4,Interrupted while waiting for message on queue
39,Interrupted while waiting for message on queue,4,Interrupted while waiting for message on queue
40,"Connection broken for id 188978561024, my id = 1, error =",5,"Connection broken for id <:NUM:>, my id = <:NUM:>, error ="
41,Interrupted while waiting for message on queue,4,Interrupted while waiting for message on queue
42,Interrupted while waiting for message on queue,4,Interrupted while waiting for message on queue
43,Received connection request /10.10.34.13:58035,2,Received connection request /<:IP:>:<:NUM:>
44,Interrupting SendWorker,6,Interrupting SendWorker
45,Interrupted while waiting for message on queue,4,Interrupted while waiting for message on queue
46,Interrupting SendWorker,6,Interrupting SendWorker
47,Interrupting SendWorker,6,Interrupting SendWorker
48,Received connection request /10.10.34.12:47838,2,Received connection request /<:IP:>:<:NUM:>
49,Interrupted while waiting for message on queue,4,Interrupted while waiting for message on queue
50,Interrupted while waiting for message on queue,4,Interrupted while waiting for message on queue
51,Send worker leaving thread,3,Send worker leaving thread
52,Interrupting SendWorker,6,Interrupting SendWorker
53,Interrupting SendWorker,6,Interrupting SendWorker
